date,hustle,source,amount,category,notes
2026-01-05,etsy_shop,Etsy payout,142.00,product_sales,
2026-01-08,fiverr_gigs,Fiverr logo design,95.00,freelance,
2026-01-10,doordash,Weekend shifts,186.50,gig,
2026-01-12,kdp,Kindle royalties,38.20,affiliate,
2026-01-15,etsy_shop,Etsy payout,67.50,product_sales,
2026-01-18,fiverr_gigs,Fiverr copy edit,110.00,freelance,
2026-01-22,doordash,Evening block,124.00,gig,
2026-01-25,etsy_shop,Etsy payout,89.00,product_sales,
2026-01-28,kdp,Kindle royalties,22.40,affiliate,
2026-02-01,fiverr_gigs,Fiverr branding,145.00,freelance,
2026-02-03,doordash,Weekend shifts,201.00,gig,
2026-02-05,etsy_shop,Etsy payout,78.00,product_sales,
