invoice_id,client,sent_date,due_date,amount,status,paid_date
INV-001,Acme Corp,2026-01-05,2026-01-20,2500.00,paid,2026-01-18
INV-002,Beta LLC,2026-01-12,2026-01-27,1800.00,paid,2026-02-03
INV-003,Gamma Studio,2026-02-01,2026-02-16,3200.00,paid,2026-02-14
INV-004,Delta Co,2026-02-15,2026-03-02,1500.00,overdue,
INV-005,Echo Inc,2026-03-01,2026-03-16,2200.00,paid,2026-03-12
INV-006,Foxtrot Ltd,2026-03-10,2026-03-25,900.00,overdue,
INV-007,Golf Partners,2026-04-02,2026-04-17,4100.00,paid,2026-04-15
INV-008,Hotel Group,2026-04-20,2026-05-05,1750.00,sent,
INV-009,India Works,2026-05-01,2026-05-16,2800.00,paid,2026-05-10
INV-010,Juliet Media,2026-05-15,2026-05-30,1200.00,paid,2026-06-02
