date,platform,item,sku,sale_price,platform_fee,shipping_cost,cogs,net_profit,status
2026-01-05,ebay,Vintage jacket,VJ-001,45.00,6.75,8.50,12.00,17.75,sold
2026-01-08,poshmark,Designer bag,DB-002,85.00,17.00,0.00,25.00,43.00,sold
2026-01-12,mercari,Sneakers,SN-003,60.00,6.00,5.00,18.00,31.00,sold
2026-01-15,amazon,Phone case,PC-004,22.00,3.30,4.00,5.00,9.70,sold
2026-01-20,ebay,Watch band,WB-005,28.00,4.20,3.50,8.00,12.30,sold
2026-01-25,poshmark,Dress,DR-006,55.00,11.00,0.00,15.00,29.00,sold
2026-02-01,mercari,Jacket,JK-007,75.00,7.50,6.00,20.00,41.50,sold
2026-02-08,ebay,Shoes,SH-008,40.00,6.00,7.00,10.00,17.00,sold
2026-02-14,poshmark,Handbag,HB-009,120.00,24.00,0.00,35.00,61.00,sold
2026-02-20,amazon,Cable,CB-010,15.00,2.25,3.00,3.50,6.25,sold
