date,sku,product,platform,gross
2026-01-05,SKU-001,Printable Budget Planner,gumroad,12.99
2026-01-08,SKU-001,Printable Budget Planner,gumroad,12.99
2026-01-12,SKU-002,Etsy Wall Art Bundle,etsy,8.50
2026-01-15,SKU-003,Notion Habit Tracker,gumroad,9.99
2026-01-18,SKU-002,Etsy Wall Art Bundle,etsy,8.50
2026-01-22,SKU-001,Printable Budget Planner,shopify,14.99
2026-01-25,SKU-003,Notion Habit Tracker,gumroad,9.99
2026-02-02,SKU-001,Printable Budget Planner,gumroad,12.99
2026-02-08,SKU-002,Etsy Wall Art Bundle,etsy,8.50
2026-02-14,SKU-003,Notion Habit Tracker,gumroad,9.99
